popularity_quartile,total_canciones,popularity_min,popularity_max,popularity_promedio,energy_promedio,danceability_promedio,acousticness_promedio,valence_promedio,loudness_promedio
q1_bajo,499,11,49,39.82364729458918,57.016032064128254,51.28256513026052,32.35871743486974,47.142284569138276,-9.623246492985972
q2_medio_bajo,540,50,62,56.41111111111111,58.89074074074074,51.827777777777776,28.81851851851852,47.03333333333333,-9.348148148148148
q3_medio_alto,497,63,71,66.96780684104628,59.8953722334004,53.55533199195171,29.55533199195171,51.67806841046278,-9.098591549295774
q4_alto,458,72,100,76.59170305676857,63.277292576419214,56.68777292576419,24.33406113537118,52.21615720524017,-7.8406113537117905
