top_genre,total_canciones,popularity_promedio,tasa_premium,tasa_zona_critica,popularity_global
operatic pop,1,59.0,0.0,0.0,59.53
permanent wave,38,67.66,34.21,2.63,59.53
pop,47,67.62,42.55,12.77,59.53
pop punk,1,79.0,100.0,0.0,59.53
punk,2,52.5,0.0,0.0,59.53
reggae,8,69.88,62.5,12.5,59.53
reggae fusion,4,59.5,25.0,25.0,59.53
rock-and-roll,1,33.0,0.0,100.0,59.53
scottish singer-songwriter,2,35.5,0.0,100.0,59.53
soft rock,1,70.0,0.0,0.0,59.53
stomp and holler,1,64.0,0.0,0.0,59.53
streektaal,1,28.0,0.0,100.0,59.53
trance,1,58.0,0.0,0.0,59.53
uk pop,1,61.0,0.0,0.0,59.53
yacht rock,1,64.0,0.0,0.0,59.53
