cluster_asignado,total_canciones,popularity_promedio,energy_promedio,danceability_promedio,acousticness_promedio,valence_promedio
0,1246,60.63,73.12,56.54,13.48,57.63
1,748,57.69,37.29,47.73,54.47,35.72
